Component,Condition,Bus1,Bus2
MTR106,CYSS2A_14W_PM8\MMXU1\PPV\zavg >= 50,100,
MTR107,CYSS2A_15L_PM8\MMXU1\PPV\zavg >= 50,100,
MTR108,CYSS2A_16W_PM8\MMXU1\PPV\zavg >= 50,100,
BKR5,0,100,110
BKR100,(CYSS2A_MAIN_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (CYSS2A_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd),130,100
BKR101,(CYSS2A_09L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2A_09L_PM8\P26_GGIO1\ZMtrInd3\zInd),100,101
BKR102,(CYSS2A_10W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2A_10W_PM8\P26_GGIO1\ZMtrInd3\zInd),100,102
BKR103,(CYSS2A_11L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2A_11L_PM8\P26_GGIO1\ZMtrInd3\zInd),100,103
BKR104,(CYSS2A_12W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2A_12W_PM8\P26_GGIO1\ZMtrInd3\zInd),100,104
BKR105,(CYSS2A_13L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2A_13L_PM8\P26_GGIO1\ZMtrInd3\zInd),100,105
BKR106,(CYSS2A_14W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2A_14W_PM8\P26_GGIO1\ZMtrInd3\zInd),100,106
BKR107,(CYSS2A_15L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2A_15L_PM8\P26_GGIO1\ZMtrInd3\zInd),100,107
BKR108,(CYSS2A_16W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2A_16W_PM8\P26_GGIO1\ZMtrInd3\zInd),100,108
,,,
// CYSS2B_OL,,,
MTR119,CYSS2B_MAIN_CM4\MMXU1\PPV\zavg >= 50,142,
MTR111,CYSS2B_15W_PM8\MMXU1\PPV\zavg >= 50,110,
MTR112,CYSS2B_16L_PM8\MMXU1\PPV\zavg >= 50,110,
MTR113,CYSS2B_13W_PM8\MMXU1\PPV\zavg >= 50,110,
MTR114,CYSS2B_14L_PM8\MMXU1\PPV\zavg >= 50,110,
MTR115,CYSS2B_11W_PM8\MMXU1\PPV\zavg >= 50,110,
MTR116,CYSS2B_12L_PM8\MMXU1\PPV\zavg >= 50,110,
MTR117,CYSS2B_09W_PM8\MMXU1\PPV\zavg >= 50,110,
MTR118,CYSS2B_10L_PM8\MMXU1\PPV\zavg >= 50,110,
BKR110,(CYSS2B_MAIN_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (CYSS2B_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd),142,110
BKR111,(CYSS2B_15W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2B_15W_PM8\P26_GGIO1\ZMtrInd3\zInd),110,111
BKR112,(CYSS2B_16L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2B_16L_PM8\P26_GGIO1\ZMtrInd3\zInd),110,112
BKR113,(CYSS2B_13W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2B_13W_PM8\P26_GGIO1\ZMtrInd3\zInd),110,113
BKR114,(CYSS2B_14L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2B_14L_PM8\P26_GGIO1\ZMtrInd3\zInd),110,114
BKR115,(CYSS2B_11W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2B_11W_PM8\P26_GGIO1\ZMtrInd3\zInd),110,115
BKR116,(CYSS2B_12L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2B_12L_PM8\P26_GGIO1\ZMtrInd3\zInd),110,116
BKR117,(CYSS2B_09W_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2B_09W_PM8\P26_GGIO1\ZMtrInd3\zInd),110,117
BKR118,(CYSS2B_10L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYSS2B_10L_PM8\P26_GGIO1\ZMtrInd3\zInd),110,118
,,,
// CYS1_OL,,,
SRC3,CYS1_MAIN_CM4\MMXU1\PPV\zavg >= 50,33,
MTR33,CYS1_MAIN_CM4\MMXU1\PPV\zavg >= 50,33,
MTR122,CYS1_SPR_3U_PM8\MMXU1\PPV\zavg >= 50,121,
MTR123,CYS1_SPR_3L_PM8\MMXU1\PPV\zavg >= 50,121,
MTR124,CYS1_SPR_4U_PM8\MMXU1\PPV\zavg >= 50,121,
MTR125,CYS1_IYS1_PM8\MMXU1\PPV\zavg >= 50,121,
MTR126,CYS1_RP3_4_PM8\MMXU1\PPV\zavg >= 50,121,
MTR127,CYS1_RP5_6_PM8\MMXU1\PPV\zavg >= 50,121,
MTR128,CYS1_SPR_6U_PM8\MMXU1\PPV\zavg >= 50,121,
MTR129,CYS1_SPR_6L_PM8\MMXU1\PPV\zavg >= 50,121,
MTR130,CYS1_CYSS2A_PM8\MMXU1\PPV\zavg >= 50,121,
MTR131,CYS1_CYSS3A_PM8\MMXU1\PPV\zavg >= 50,121,
//BKR32,0,32,33
BKR33,(CYS1_MAIN_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (CYS1_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd),33,121
BKR121,0,121,141
BKR122,(CYS1_SPR_3U_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS1_SPR_3U_PM8\P26_GGIO1\ZMtrInd3\zInd),121,122
BKR123,(CYS1_SPR_3L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS1_SPR_3L_PM8\P26_GGIO1\ZMtrInd3\zInd),121,123
BKR124,(CYS1_SPR_4U_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS1_SPR_4U_PM8\P26_GGIO1\ZMtrInd3\zInd),121,124
BKR125,(CYS1_IYS1_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS1_IYS1_PM8\P26_GGIO1\ZMtrInd3\zInd),121,125
BKR126,(CYS1_RP3_4_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS1_RP3_4_PM8\P26_GGIO1\ZMtrInd3\zInd),121,126
BKR127,(CYS1_RP5_6_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS1_RP5_6_PM8\P26_GGIO1\ZMtrInd3\zInd),121,127
BKR128,(CYS1_SPR_6U_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS1_SPR_6U_PM8\P26_GGIO1\ZMtrInd3\zInd),121,128
BKR129,(CYS1_SPR_6L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS1_SPR_6L_PM8\P26_GGIO1\ZMtrInd3\zInd),121,129
BKR130,(CYS1_CYSS2A_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS1_CYSS2A_PM8\P26_GGIO1\ZMtrInd3\zInd),121,130
BKR131,(CYS1_CYSS3A_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS1_CYSS3A_PM8\P26_GGIO1\ZMtrInd3\zInd),121,131
,,,
// CYS2_OL,,,
SRC4,CYS2_MAIN_CM4\MMXU1\PPV\zavg >= 50,35,
MTR35,CYS2_MAIN_CM4\MMXU1\PPV\zavg >= 50,35,
MTR142,CYS2_CYSS2B_PM8\MMXU1\PPV\zavg >= 50,141,
MTR143,CYS2_CYSS3B_PM8\MMXU1\PPV\zavg >= 50,141,
MTR144,CYS2_RP7_8_PM8\MMXU1\PPV\zavg >= 50,141,
MTR145,CYS2_SPR_12L_PM8\MMXU1\PPV\zavg >= 50,141,
MTR146,CYS2_SPR_13U_PM8\MMXU1\PPV\zavg >= 50,141,
MTR147,CYS2_SPR_13L_PM8\MMXU1\PPV\zavg >= 50,141,
MTR148,CYS2_SPR_14U_PM8\MMXU1\PPV\zavg >= 50,141,
MTR149,CYS2_SPR_14L_PM8\MMXU1\PPV\zavg >= 50,141,
MTR150,CYS2_SPR_15U_PM8\MMXU1\PPV\zavg >= 50,141,
MTR151,CYS2_SPR_15L_PM8\MMXU1\PPV\zavg >= 50,141,
//BKR34,0,34,35
BKR35,(CYS2_MAIN_CM4\IOX_GGIO3\ZMtrInd8\zInd) & (CYS2_MAIN_CM4\IOX_GGIO3\ZMtrInd6\zInd),35,141
BKR142,(CYS2_CYSS2B_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS2_CYSS2B_PM8\P26_GGIO1\ZMtrInd3\zInd),141,142
BKR143,(CYS2_CYSS3B_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS2_CYSS3B_PM8\P26_GGIO1\ZMtrInd3\zInd),141,143
BKR144,(CYS2_RP7_8_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS2_RP7_8_PM8\P26_GGIO1\ZMtrInd3\zInd),141,144
BKR145,(CYS2_SPR_12L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS2_SPR_12L_PM8\P26_GGIO1\ZMtrInd3\zInd),141,145
BKR146,(CYS2_SPR_13U_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS2_SPR_13U_PM8\P26_GGIO1\ZMtrInd3\zInd),141,146
BKR147,(CYS2_SPR_13L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS2_SPR_13L_PM8\P26_GGIO1\ZMtrInd3\zInd),141,147
BKR148,(CYS2_SPR_14U_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS2_SPR_14U_PM8\P26_GGIO1\ZMtrInd3\zInd),141,148
BKR149,(CYS2_SPR_14L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS2_SPR_14L_PM8\P26_GGIO1\ZMtrInd3\zInd),141,149
BKR150,(CYS2_SPR_15U_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS2_SPR_15U_PM8\P26_GGIO1\ZMtrInd3\zInd),141,150
BKR151,(CYS2_SPR_15L_PM8\P26_GGIO1\ZMtrInd1\zInd) & (CYS2_SPR_15L_PM8\P26_GGIO1\ZMtrInd3\zInd),141,151
,,,
// LPCY1_OL,,,
MTR53,LPCY1_MAIN_PM8\MMXU1\PPV\zavg >= 50,53,
BKR53,1,11,53
BKR54,LPCY1_MAIN_MTU\XCBR1\Pos = 2,53,54
,,,
// LPCY2_OL,,,
MTR73,LPCY2_MAIN_PM8\MMXU1\PPV\zavg >= 50,73,
